"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (USD)",Purchases,Ends,"Attribution setting","Meta leads","Purchase ROAS (return on ad spend)","Results value","Result value indicator","Results (initial)","Results (initial) indicator"
2026-01-01,2026-07-11,"Video Views - LA, MS, AL",inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
2026-01-01,2026-07-11,"Video Views - Texas",inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
2026-01-01,2026-07-11,"Video Views - Florida",inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
2026-01-01,2026-07-11,"Commercial Cookers - Catering LA and TX",inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
2026-01-01,2026-07-11,"New Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
2026-01-01,2026-07-11,"Lookalike Retarget",inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
2026-01-01,2026-07-11,"Christmas Sales Event",inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click",,,,,,
2026-01-01,2026-07-11,"Christmas Sales Event - Copy",inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click",,,,,,
2026-01-01,2026-07-11,Crawcuzzi,inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
2026-01-01,2026-07-11,"WD Page Likes Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
2026-01-01,2026-07-11,"BizIQ - Advantage+ shopping campaign_January 2025_Video",inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
2026-01-01,2026-07-11,BPM_Adv+Sales,inactive,,,,50,Daily,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
2026-01-01,2026-07-11,BPM_TOF_Manual,active,1156,actions:offsite_conversion.fb_pixel_purchase,57.76846021,"Using ad set budget",0,66780.34,5910328,1245535,4.745212,11.298923,1157,Ongoing,"Multiple attribution settings",1,10.961163,731990.19,action_values:offsite_conversion.fb_pixel_purchase,,
2026-01-01,2026-07-11,BPM_MOF,inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
2026-01-01,2026-07-11,"BPM_Adv+Sales - 40qt sale",inactive,,,,30,Daily,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
2026-01-01,2026-07-11,"BPM_Adv+Sales - Website",inactive,,,,40,Daily,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
2026-01-01,2026-07-11,"BM | TOF | ABO | Creative Testing [Static]",inactive,130,actions:offsite_conversion.fb_pixel_purchase,256.31007692,"Using ad set budget",0,33320.31,2325476,374236,6.213929,14.328383,131,Ongoing,"7-day click",,2.3909,79665.54,action_values:offsite_conversion.fb_pixel_purchase,,
2026-01-01,2026-07-11,"BM | TOF | HP Cookers | ABO | Offer Testing",not_delivering,10,actions:offsite_conversion.fb_pixel_purchase,153.568,"Using ad set budget",0,1535.68,152753,61841,2.470093,10.053354,10,2026-07-06,"7-day click",,3.230654,4961.25,action_values:offsite_conversion.fb_pixel_purchase,,
2026-01-01,2026-07-11,"BM | TOF | ABO | Gifting",inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click",,,,,,
2026-01-01,2026-07-11,"BM | TOF | ABO | Creative Testing [Video]",inactive,163,actions:offsite_conversion.fb_pixel_purchase,169.08245399,"Using ad set budget",0,27560.44,2740085,549212,4.989121,10.058243,163,Ongoing,"7-day click",1,3.270233,90129.07,action_values:offsite_conversion.fb_pixel_purchase,,
2026-01-01,2026-07-11,"BM | TOF | ABO | Open | External Whitelisting",not_delivering,153,actions:offsite_conversion.fb_pixel_purchase,126.24921569,"Using ad set budget",0,19316.13,1157383,249539,4.638085,16.689488,153,Ongoing,"7-day click",,5.143095,99344.69,action_values:offsite_conversion.fb_pixel_purchase,,
2026-01-01,2026-07-11,"BM | TOF | ABO | GUGC",inactive,38,actions:offsite_conversion.fb_pixel_purchase,269.88421053,"Using ad set budget",0,10255.6,956022,248664,3.844634,10.727368,38,Ongoing,"7-day click",,1.759066,18040.28,action_values:offsite_conversion.fb_pixel_purchase,,
2026-01-01,2026-07-11,"BM | TOF | ABO | UGC",inactive,103,actions:offsite_conversion.fb_pixel_purchase,187.03252427,"Using ad set budget",0,19264.35,1376499,592484,2.323268,13.995179,103,Ongoing,"7-day click",,3.242942,62473.17,action_values:offsite_conversion.fb_pixel_purchase,,
2026-01-01,2026-07-11,"BM | TOF | CBO | Internal Whitelisting",inactive,128,actions:offsite_conversion.fb_pixel_purchase,116.42,100,Daily,14901.76,1191980,290774,4.099335,12.501686,128,Ongoing,"7-day click",,5.130568,76454.49,action_values:offsite_conversion.fb_pixel_purchase,,
2026-01-01,2026-07-11,"BM | ASC+ | CBO | Creative Testing",inactive,20,actions:offsite_conversion.fb_pixel_purchase,298.0415,200,Daily,5960.83,619941,166537,3.722542,9.615157,20,Ongoing,"7-day click",,2.09119,12465.23,action_values:offsite_conversion.fb_pixel_purchase,,
2026-01-01,2026-07-11,"WD Page Likes Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
2026-01-01,2026-07-11,"BizIQ - Advantage+ shopping campaign 04/02/2024 Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
