"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (USD)",Purchases,Ends,"Attribution setting","Meta leads","Purchase ROAS (return on ad spend)","Results value","Result value indicator","Results (initial)","Results (initial) indicator"
2026-07-12,2026-08-28,"Video Views - LA, MS, AL",inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
2026-07-12,2026-08-28,"Video Views - Texas",inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
2026-07-12,2026-08-28,"Video Views - Florida",inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
2026-07-12,2026-08-28,"Commercial Cookers - Catering LA and TX",inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
2026-07-12,2026-08-28,"New Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
2026-07-12,2026-08-28,"Lookalike Retarget",inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
2026-07-12,2026-08-28,"Christmas Sales Event - Copy",inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click",,,,,,
2026-07-12,2026-08-28,Crawcuzzi,inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
2026-07-12,2026-08-28,"WD Page Likes Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
2026-07-12,2026-08-28,"BizIQ - Advantage+ shopping campaign_January 2025_Video",inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
2026-07-12,2026-08-28,BPM_Adv+Sales,inactive,,,,50,Daily,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
2026-07-12,2026-08-28,BPM_TOF_Manual,active,163,actions:offsite_conversion.fb_pixel_purchase,56.34527607,"Using ad set budget",0,9184.28,698021,134253,5.199295,13.157598,164,Ongoing,"Multiple attribution settings",,7.599775,69798.46,action_values:offsite_conversion.fb_pixel_purchase,,
2026-07-12,2026-08-28,BPM_MOF,inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
2026-07-12,2026-08-28,"BPM_Adv+Sales - 40qt sale",inactive,,,,30,Daily,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
2026-07-12,2026-08-28,"BPM_Adv+Sales - Website",inactive,,,,40,Daily,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
2026-07-12,2026-08-28,"BM | TOF | ABO | Creative Testing [Static]",inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click",,,,,,
2026-07-12,2026-08-28,"BM | TOF | HP Cookers | ABO | Offer Testing",not_delivering,,,,"Using ad set budget",0,0,0,0,0,0,,2026-07-06,"7-day click",,,,,,
2026-07-12,2026-08-28,"BM | TOF | ABO | Gifting",inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click",,,,,,
2026-07-12,2026-08-28,"BM | TOF | ABO | Creative Testing [Video]",inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click",,,,,,
2026-07-12,2026-08-28,"BM | TOF | ABO | Open | External Whitelisting",not_delivering,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click",,,,,,
2026-07-12,2026-08-28,"BM | TOF | ABO | GUGC",inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click",,,,,,
2026-07-12,2026-08-28,"BM | TOF | ABO | UGC",inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click",,,,,,
2026-07-12,2026-08-28,"BM | TOF | CBO | Internal Whitelisting",inactive,,,,100,Daily,0,0,0,0,0,,Ongoing,"7-day click",,,,,,
2026-07-12,2026-08-28,"BM | ASC+ | CBO | Creative Testing",inactive,2,actions:offsite_conversion.fb_pixel_purchase,525.34,200,Daily,1050.68,100212,24831,4.035762,10.484573,2,Ongoing,"7-day click",,1.568746,1648.25,action_values:offsite_conversion.fb_pixel_purchase,,
2026-07-12,2026-08-28,18qt-TOF-Prospecting,active,15,actions:offsite_conversion.fb_pixel_purchase,72.236,50,Daily,1083.54,45680,15454,2.955869,23.720228,15,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",,6.251694,6773.96,action_values:offsite_conversion.fb_pixel_purchase,,
2026-07-12,2026-08-28,"Christmas Sales Event",inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click",,,,,,
2026-07-12,2026-08-28,"WD Page Likes Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
2026-07-12,2026-08-28,"BizIQ - Advantage+ shopping campaign 04/02/2024 Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
2026-07-12,2026-08-28,BizIQ_Retargeting,inactive,,,,30,Daily,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
2026-07-12,2026-08-28,"BizIQ_Sales_Purchase_Manual Setup",inactive,,,,20,Daily,0,0,0,0,0,,Ongoing,"7-day click or 1-day view",,,,,,
